"SUJETO","SEXO","EDAD","AÑOSDEESTUDIO","INGRESOS","LOCALIDADPROCEDENCIA","LOCALIDADDERESIDENCIA","BARRIO","EDADLLEGADAMÁLAGA","TIEMPORESIDENCIA","OCUPACIÓN","OCUPACIÓNPADRE","OCUPACIÓNMADRE","ESTUDIOSPADRE","ESTUDIOSMADRE","CLASEFAMILIA","LIBROSAÑO","PRENSALOCAL","PRENSANACIONAL","TVNOTICIAS","TVCORAZÓN","RADIO","BUSQUEDASENINTERNET","CHAT…","JUEGOS","BAJARDEINTERNET","TOTALHORASINTERNET","CASADO","ORIGENCÓNYUGE","NÚMERODEHIJOS","EDADHIJO1","EDADHIJO2","EDADHIJO3","EDADHIJO4","EDADHIJO5","EDADHIJO6","EDUCACIÓNHIJO1","EDUCACIÓNHIJO2","EDUCACIÓNHIJO3","EDUCACIÓNHIJO4","EDUCACIÓNHIJO5","EDUCACIONHIJO6","RESIDENCIAHIJO1","RESIDENCIAHIJO2","RESIDENCIAHIJO3","RESIDENCIAHIJO4","RESIDENCIAHIJO5","RESIDENCIAHIJO6","COMPAÑEROSDETRABAJO","AMIGOS","PARIENTES","VECINOS","MÁSDEUNARELACIÓN","SEXOSUJETO1","SEXOSUJETO2","SEXOSUJETO3","SEXOSUJETO4","SEXOSUJETO5","SEXOSUJETO6","SEXOSUJETO7","SEXOSUJETO8","SEXOSUJETO9","SEXOSUJETO10","SEXOSUJETO11","SEXOSUJETO12","SEXOSUJETO13","SEXOSUJETO14","EDADSUJETO1","EDADSUJETO2","EDADSUJETO3","EDADSUJETO4","EDADSUJETO5","EDADSUJETO6","EDADSUJETO7","EDADSUJETO8","EDADSUJETO9","EDADSUJETO10","EDADSUJETO11","EDADSUJETO12","EDADSUEJTO13","EDADSUJETO14","ORIGENSUJETO1","ORIGENSUJETO2","ORIGENSUJETO3","ORIGENSUJETO4","ORIGENSUJETO5","ORIGENSUJETO6","ORIGENSUJETO7","ORIGENSUJETO8","ORIGENSUJETO9","ORIGENSUJETO10","ORIGENSUJETO11","ORIGENSUJETO12","ORIGENSUJETO13","ORIGENSUJETO14","OCUPACIONSUJETO1","OCUPACIONSUJETO2","OCUPACIONSUJETO3","OCUPACIONSUJETO4","OCUPACIONSUJETO5","OCUPACIONSUJETO6","OCUPACIONSUJETO7","OCUPACIONSUJETO8","OCUPACIONSUJETO9","OCUPACIONSUJETO10","OCUPACIONSUJETO11","OCUPACIONSUJETO12","OCUPACIONSUJETO13","OCUPACIONSUJETO14","TIPODERELACIÓNSUJETO1","TIPODERELACIÓNSUJETO2","TIPODERELACIÓNSUJETO3","TIPODERELACIÓNSUJETO4","TIPODERELACIÓNSUJETO5","TIPODERELACIÓNSUJETO6","TIPODERELACIÓNSUJETO7","TIPODERELACIÓNSUJETO8","TIPODERELACIÓNSUJETO.","TIPODERELACIÓNSUJETO10","TIPODERELACIONSUJETO11","TIPODERELACIONSUJETO12","TIPODERELACION13","TIPODERELACIONSUJETO14","EDUCACIÓNSUJETO1","EDUCACIÓNSUJETO2","EDUCACIÓNSUJETO3","EDUCACIÓNSUJETO4","EDUCACIÓNSUJETO5","EDUCACIÓNSUJETO6","EDUCACIÓNSUJETO7","EDUCACIÓNSUJETO8","EDUCACIÓNSUJETO.","EDUCACIÓNSUJETO10","EDUCACIÓNSUJETO11","EDUCACIÓNSUJETO12","EDUCACIONSUJETO13","EDUCACIÓNSUJETO14","RESIDENCIASUJETO1","RESIDENCIASUJETO2","RESIDENCIASUJETO3","RESIDENCIASUJETO4","RESIDENCIASUJETO5","RESIDENCIASUJETO6","RESIDENCIASUJETO7","RESIDENCIASUJETO8","RESIDENCIASUJETO.","RESIDENCIASUJETO10","RESIDENCIASUJETO11","RESIDENCIASUJETO12","RESIDENCIASUJETO13","RESIDENCIASUJETO14","FRECUENCIAREUNIÓNSUJETO1","FRECUENCIAREUNIÓNSUJETO2","FRECUENCIAREUNIÓNSUJETO3","FRECUENCIAREUNIÓNSUJETO4","FRECUENCIAREUNIÓNSUJETO5","FRECUENCIAREUNIÓNSUJETO6","FRECUENCIAREUNIÓNSUJETO7","FRECUENCIAREUNIÓNSUJETO8","FRECUENCIAREUNIÓNSUJETO.","FRECUENCIAREUNIÓNSUJETO10","FRECUENCIAREUNIÓNSUJETO11","FRECUENCIAREUNIÓNSUJETO12","FRECUENCIAREUNIONSUJETO13","FRECUENCIAREUNIONSUJETO14","FAVORASUJETO1","FAVORASUJETO2","FAVORASUJETO3","FAVORASUJETO4","FAVORASUJETO5","FAVORASUJETO6","FAVORASUJETO7","FAVORASUJETO8","FAVORASUJETO.","FAVORASUJETO10","FAVORSUJETO11","FAVORSUJETO12","FAVORSUJETO13","FAVORSUJETO14","COMOVEASUJETO1","COMOVEASUJETO2","COMOVEASUJETO3","COMOVEASUJETO4","COMOVEASUJETO5","COMOVEASUJETO6","COMOVEASUJETO7","COMOVEASUJETO8","COMOVEASUJETO.","COMOVEASUJETO10","COMOVEASUJETO11","COMOVEASUJETO12","COMOVEASUJETO13","COMOVEASUJETO14","FAVORIMPORTANTEACOMPTRAB","FAVORIMPORTANTEAVECINOS","FAVORIMPORTANTEAMIGOS","FAVORIMPORTANTEAMÍNTIMOS","FAVORIMPORTANTEPARIENTES","FAVORIMPORTANTEMASUNARELAC","SATISFACCIONRED","PERSONASQUETRATASON","SECONOCENENTRESÍ","SETRATANENTRESÍ","DENSIDAD1","DENSIDAD2","DENSIDAD3","DENSIDAD4","DENSIDAD5","DENSIDAD6","DENSIDAD7","MULTIPLICIDAD1","MULTIPLICIDAD2","MULTIPLICIDAD3","MULTIPLICIDAD4","MULTIPLICIDAD5","MULTIPLICIDAD6","FUERZAVÍNCULOS1","FUERZAVÍNCULOS2","FUERZAVÍNCULOS3","FUERZAVÍNCULOS4","MODERNIDAD1","MODERNIDAD2","MODERNIDAD3","MODERNIDAD4","MODERNIDAD5","MODERNIDAD6","UTILIDADRED1","UTILIDADRED2","UTILIDADRED3","SOLUCIÓNDEPROBLEMAS1","SOLUCIÓNDEPROBLEMAS2","SOLUCIÓNDEPROBLEMAS3","SOLUCIÓNDEPROBLEMAS4","HACERLACAMA","FREGARPLATOS","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","TOTALdepalabras"
"001",1,69,4,2,1,1,"03","..",69,1,2,1,"04","00",1,4,4,1,2,3,4,"..","..","..","…","…",1,1,3,"43","36","33","..","..","..",4,5,3,".",".",".",1,1,1,".",".",".",0,0,4,2,6,1,1,1,1,1,1,".",".",".",".",".",".",".",".",69,75,82,80,69,53,"..","..","..","..","..","..","..","..",1,1,1,1,1,1,".",".",".",".",".",".",".",".",1,1,1,1,1,1,".",".",".",".",".",".",".",".",5,5,5,5,5,5,".",".",".",".",".",".",".",".",1,1,1,1,1,1,".",".",".",".",".",".",".",".",3,3,3,3,1,0,".",".",".",".",".",".",".",".",5,5,5,5,5,5,".",".",".",".",".",".",".",".",1,1,1,1,1,2,".",".",".",".",".",".",".",".",2,4,4,4,2,2,".",".",".",".",".",".",".",".",0,0,0,0,0,5,3,1,3,3,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,".",".",2,1,2,2,2,3,2,14,15,18,14,21,11,15,13,9,15,14,10,12,19,13,19,10,8,17,13,"280"
"002",0,71,4,2,1,1,"02","..",71,2,1,1,"00","00",1,1,4,1,4,2,4,"..","..","..","…","…",1,1,3,"43","36","33","..","..","..",4,5,3,".",".",".",1,1,1,".",".",".",1,2,1,3,0,0,0,0,0,0,0,0,".",".",".",".",".",".",".",37,73,80,76,70,70,58,"..","..","..","..","..","..","..",1,1,1,1,1,2,1,".",".",".",".",".",".",".",2,2,1,2,1,2,2,".",".",".",".",".",".",".",4,2,2,1,3,3,3,".",".",".",".",".",".",".",1,1,1,0,0,0,2,".",".",".",".",".",".",".",5,3,3,1,0,0,0,".",".",".",".",".",".",".",0,4,4,6,5,5,5,".",".",".",".",".",".",".",2,1,1,1,2,2,2,".",".",".",".",".",".",".",1,3,4,3,3,1,3,".",".",".",".",".",".",".",0,0,0,5,3,0,3,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,4,".",2,1,2,1,2,3,2,19,13,12,13,24,14,14,12,8,13,8,11,8,12,10,15,10,4,11,16,"247"
"003",0,20,12,4,1,1,"16","..",20,".",3,3,"17","17",2,1,1,1,4,3,0,"..","..","..","…","…",2,".",".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,0,0,3,0,0,0,0,0,0,".",".",".",".",".",".",".",".",19,19,19,20,20,19,"..","..","..","..","..","..","..","..",1,1,1,1,1,1,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",5,5,5,2,2,2,".",".",".",".",".",".",".",".",3,3,3,3,3,3,".",".",".",".",".",".",".",".",3,3,4,4,3,3,".",".",".",".",".",".",".",".",5,5,5,3,3,3,".",".",".",".",".",".",".",".",1,1,1,1,1,1,".",".",".",".",".",".",".",".",3,4,3,4,4,4,".",".",".",".",".",".",".",".",2,".",1,3,1,".",3,3,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,".",".",2,1,2,1,2,".",".",16,13,13,9,26,10,14,11,4,14,14,18,5,12,9,11,11,20,14,13,"257"
"004",1,24,17,3,1,1,"03","..",24,1,1,1,"06","06",1,2,0,0,1,3,0,"..","..","..","…","…",2,".",".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,2,0,0,1,1,1,1,1,1,1,0,".",".",".",".",".",".",26,23,26,24,25,26,67,"67","..","..","..","..","..","..",1,1,1,1,2,1,2,1,".",".",".",".",".",".",2,1,2,1,3,3,1,1,".",".",".",".",".",".",4,4,4,2,2,2,1,1,".",".",".",".",".",".",1,3,3,5,5,4,0,0,".",".",".",".",".",".",4,4,4,4,4,4,3,3,".",".",".",".",".",".",4,4,4,5,4,4,5,3,".",".",".",".",".",".",2,2,2,1,2,1,1,1,".",".",".",".",".",".",4,3,3,3,3,4,3,2,".",".",".",".",".",".",0,0,0,2,2,0,2,6,2,3,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,3,1,2,1,2,2,2,".",".",25,16,10,12,23,13,17,15,11,17,9,20,10,24,13,21,17,17,18,16,"324"
"005",0,24,17,4,1,1,"37","..",24,1,1,2,"06","06",2,2,2,3,4,3,3,"..","..","..","…","…",2,".",0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,0,0,0,1,0,0,0,0,0,".",".",".",".",".",".",".",".",25,26,26,25,26,25,"..","..","..","..","..","..","..","..",1,1,1,1,1,2,".",".",".",".",".",".",".",".",3,1,1,1,2,1,".",".",".",".",".",".",".",".",2,2,2,2,2,2,".",".",".",".",".",".",".",".",5,3,3,3,5,3,".",".",".",".",".",".",".",".",4,5,4,3,3,4,".",".",".",".",".",".",".",".",4,3,3,5,5,5,".",".",".",".",".",".",".",".",1,2,2,1,1,1,".",".",".",".",".",".",".",".",1,1,3,4,4,3,".",".",".",".",".",".",".",".",2,0,1,2,0,0,3,2,2,2,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,4,".",2,1,2,1,1,".",".",30,24,18,15,18,18,20,20,13,29,22,22,13,32,26,31,27,33,25,31,"467"
"006",1,26,15,4,1,1,"14","..",26,3,1,1,"04","04",1,1,1,1,3,0,0,"..","..","..","…","…",2,".",".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,3,3,0,1,1,1,1,1,1,1,1,0,1,1,1,".",".",36,24,40,24,26,24,28,"08","28",56,35,63,"..","..",1,1,3,1,1,1,1,2,2,1,1,1,".",".",2,2,3,3,2,2,3,".",3,1,1,2,".",".",4,4,4,2,2,2,1,1,1,3,3,3,".",".",3,4,4,5,5,4,3,0,2,2,3,1,".",".",4,4,2,4,1,4,5,5,5,0,0,0,".",".",5,5,5,4,4,3,2,2,1,4,3,4,".",".",2,2,2,1,1,1,1,2,2,2,2,2,".",".",1,1,1,3,3,3,3,4,3,3,3,1,".",".",0,0,1,4,2,0,2,2,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,3,5,2,1,1,1,1,".",".",26,19,16,20,30,14,21,28,14,28,26,16,13,32,17,25,13,23,25,26,"432"
"008",0,57,8,1,1,1,"02","..",57,1,2,1,"04","04",1,2,3,1,3,3,0,"..","..","..","…","…",1,1,0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,4,4,4,0,1,1,1,0,0,0,".",".",".",".",".",".",".",".",60,58,55,58,68,60,"..","..","..","..","..","..","..","..",1,1,1,1,1,1,".",".",".",".",".",".",".",".",1,1,1,1,1,1,".",".",".",".",".",".",".",".",4,4,4,2,2,2,".",".",".",".",".",".",".",".",1,2,2,1,1,2,".",".",".",".",".",".",".",".",2,2,2,2,2,2,".",".",".",".",".",".",".",".",6,6,6,5,4,6,".",".",".",".",".",".",".",".",1,1,1,1,1,1,".",".",".",".",".",".",".",".",4,4,1,1,2,1,".",".",".",".",".",".",".",".",0,0,0,3,0,0,3,3,3,3,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,3,3,1,".",".",".",".",3,3,23,19,20,17,21,16,15,16,12,16,16,18,11,19,15,14,10,13,20,18,"329"
"009",0,43,6,4,1,1,"01","..",43,1,1,1,"00","00",2,0,0,0,3,4,3,"..","..","..","…","…",1,1,3,"14","09","07","..","..","..",1,0,0,".",".",".",1,1,1,".",".",".",2,1,4,5,1,0,0,0,1,1,0,".",".",".",".",".",".",".",".",49,20,38,41,38,45,"..","..","..","..","..","..","..","..",1,1,1,1,1,1,".",".",".",".",".",".",".",".",1,1,2,1,1,2,".",".",".",".",".",".",".",".",4,4,5,1,1,1,".",".",".",".",".",".",".",".",0,1,1,2,2,1,".",".",".",".",".",".",".",".",4,4,4,2,2,2,".",".",".",".",".",".",".",".",5,5,3,3,3,3,".",".",".",".",".",".",".",".",1,2,1,2,2,2,".",".",".",".",".",".",".",".",1,3,2,1,2,4,".",".",".",".",".",".",".",".",".",".",".",".",".",".",0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,4,".",2,1,2,2,2,2,2,16,19,16,14,10,13,11,14,9,14,16,14,12,13,12,12,14,13,13,18,"273"
"010",1,50,17,4,2,1,"16","24",26,3,2,1,"15","08",2,3,3,0,4,0,0,"..","..","..","…","…",1,4,2,"24","19","..","..","..","..",5,3,".",".",".",".",1,1,".",".",".",".",1,2,2,3,1,1,1,1,1,0,1,0,1,".",".",".",".",".",".",56,45,51,50,48,67,35,"58","..","..","..","..","..","..",1,2,1,3,3,1,1,1,".",".",".",".",".",".",3,3,1,4,4,1,1,2,".",".",".",".",".",".",4,5,2,1,1,3,3,3,".",".",".",".",".",".",4,4,3,5,5,1,2,3,".",".",".",".",".",".",5,4,3,5,5,0,0,0,".",".",".",".",".",".",5,4,0,1,1,3,6,4,".",".",".",".",".",".",1,1,2,1,1,2,2,1,".",".",".",".",".",".",4,2,2,2,2,4,4,4,".",".",".",".",".",".",1,0,0,1,2,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,".",1,".",".",".",".",2,2,18,23,25,25,29,24,25,32,23,18,32,20,15,31,19,24,23,33,24,36,"499"
"012",1,43,17,4,1,1,"24","..",43,3,1,1,"06","06",2,3,4,3,4,4,0,"10","00","00","000","010",1,1,3,"13","11","08","..","..","..",2,1,0,".",".",".",1,1,1,".",".",".",4,3,3,3,0,0,1,0,0,0,1,".",".",".",".",".",".",".",".",37,36,43,45,45,43,"..","..","..","..","..","..","..","..",1,1,1,1,1,1,".",".",".",".",".",".",".",".",4,3,3,4,3,3,".",".",".",".",".",".",".",".",1,1,1,1,2,2,".",".",".",".",".",".",".",".",5,5,5,5,5,5,".",".",".",".",".",".",".",".",3,3,0,0,0,0,4,".",".",".",".",".",".",".",3,3,6,1,1,3,".",".",".",".",".",".",".",".",1,2,1,2,2,2,".",".",".",".",".",".",".",".",2,2,1,2,2,1,".",".",".",".",".",".",".",".",0,0,0,2,0,0,3,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,".",2,1,1,1,1,3,1,47,34,33,23,39,27,38,38,23,33,40,30,14,47,29,35,37,28,36,33,"664"
